product_id,,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B0B4HJNPV4,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹999,80%,3.9,"1,075"
B08Y1SJVV5,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹99,₹666.66,85%,3.9,"24,871"
B07XLCFSSN,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹899,"₹1,900",53%,4.4,"13,552"
B09RZS1NQT,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹999,80%,4,576
B0B3MMYHYW,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹32,999","₹45,999",28%,4.2,"7,298"
B09C6HWG18,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970,"₹1,999",51%,4.2,462
B00NH11KIK,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹209,₹695,70%,4.5,"1,07,687"
B09JPC82QC,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹19,999","₹34,999",43%,4.3,"27,151"
B07JW1Y6XV,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.2,"24,269"
B07KRCW6LZ,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹999,"₹1,599",38%,4.3,"12,093"
B09NJN8L25,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹59,₹199,70%,4,"9,378"
B07XJYYH7L,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹333,₹999,67%,3.3,"9,792"
B002PD61Y4,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹507,"₹1,208",58%,4.1,"8,131"
B014I8SSD0,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹309,₹475,35%,4.4,"4,26,973"
B09L8DSSFH,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹999,60%,3.6,493
B07232M876,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹395,50%,4.2,"92,595"
B07P681N66,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"₹1,199","₹2,199",45%,4.4,"24,780"
B0711PVX6Z,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179,₹500,64%,4.2,"92,595"
B082T6V3DT,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹799,"₹2,100",62%,4.3,"8,188"
B07MKFNHKG,,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","₹6,999","₹12,999",46%,4.2,"4,003"
B0BFWGBX61,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹349,43%,4.1,314
B01N90RZ4M,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹230,₹499,54%,3.7,"2,960"
B0088TKTY2,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹649,"₹1,399",54%,4.2,"1,79,691"
B09Q5SWVBJ,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹15,999","₹21,999",27%,4.2,"34,899"
B0B4DT8MKT,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹348,"₹1,499",77%,4.2,656
B08CDKQ8T6,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹154,₹349,56%,4.3,"7,064"
B07B275VN9,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹179,₹799,78%,3.7,"2,201"
B0B15CPR37,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹32,990","₹47,900",31%,4.3,"7,109"
B0994GFWBH,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹139,₹999,86%,4,"1,313"
B01GGKZ0V6,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹329,₹845,61%,4.2,"29,746"
B09F9YQQ7B,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,999","₹24,999",44%,4.2,"45,238"
B014I8SX4Y,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹309,"₹1,400",78%,4.4,"4,26,973"
B09Q8HMKZX,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹263,₹699,62%,4.1,450
B0B9XN9S3W,,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","₹7,999","₹14,990",47%,4.3,457
B07966M8XH,,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts","₹1,599","₹2,999",47%,4.2,"2,727"
B01GGKYKQM,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹219,₹700,69%,4.3,"20,053"
B0B86CDHL1,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹899,61%,4.5,149
B0B5ZF3NRK,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹599,42%,4.1,210
B09RFC46VP,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹26,999","₹42,999",37%,4.2,"45,238"
B08R69VDHT,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹115,₹499,77%,4,"7,732"
B09RWZRCP1,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.1,"1,780"
B09CMP1SC8,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹499,60%,4.1,602
B09YLXYP7Y,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179,₹399,55%,4,"1,423"
B09ZPM4C2C,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹10,901","₹30,990",65%,4.1,398
B0B2DJDCPX,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹209,₹499,58%,3.9,536
B0BCZCQTJX,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","₹1,434","₹3,999",64%,4,32
B07LGT55SJ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.2,"24,269"
B09NKZXMWJ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹139,₹249,44%,4,"9,378"
B08QX1CC14,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹7,299","₹19,125",62%,3.4,902
B0974H97TJ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹799,63%,4.4,"28,791"
B07GVGTSLN,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹325,"₹1,299",75%,4.2,"10,576"
B09VCHLSJF,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹29,999","₹39,999",25%,4.2,"7,298"
B0B1YZX72F,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹27,999","₹40,990",32%,4.3,"4,703"
B092BJMT8Q,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹30,990","₹52,900",41%,4.3,"7,109"
B0BMXMLSMM,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹999,80%,4.5,127
B07JH1C41D,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹649,"₹1,999",68%,4.2,"24,269"
B0141EZMAI,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹269,₹800,66%,3.6,"10,134"
B09Q5P2MT3,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹24,999","₹31,999",22%,4.2,"34,899"
B08HDH26JX,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹699,57%,4.2,"94,363"
B09VT6JKRP,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹999,80%,4.1,425
B09T3KB6JZ,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹18,990","₹40,990",54%,4.2,"6,659"
B093QCY6YJ,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹290,₹349,17%,3.7,"1,977"
B093ZNQZ2Y,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹249,₹799,69%,3.8,"1,079"
B08LKS3LSP,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹345,₹999,65%,3.7,"1,097"
B00V4BGDKU,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"₹1,099","₹1,899",42%,4.5,"22,420"
B08CHKQ8D4,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹719,"₹1,499",52%,4.1,"1,045"
B09BW334ML,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹349,"₹1,499",77%,4.3,"4,145"
B082T6GVLJ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹849,"₹1,809",53%,4.3,"6,547"
B07DL1KC3H,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹299,₹899,67%,4,"1,588"
B0B6F98KJJ,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹21,999","₹29,999",27%,4.2,"32,840"
B07JNVF678,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹999,65%,4.2,"13,120"
B09QGZFBPM,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.3,"2,806"
B07JGDB5M1,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹449,"₹1,299",65%,4.2,"24,269"
B0981XSZJ7,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹999,70%,4.3,766
B0B9XLX8VR,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹37,999","₹65,000",42%,4.3,"3,587"
B08Y5KXR6Z,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹99,₹800,88%,3.9,"24,871"
B09F6VHQXB,,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","₹7,390","₹20,000",63%,4.1,"2,581"
B0974G5Q2Y,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹273.10,₹999,73%,4.3,"20,850"
B09YL9SN9B,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹15,990","₹23,990",33%,4.3,"1,035"
B09RX1FK54,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.1,"1,780"
B09TT6BFDX,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,"₹1,999",80%,4.5,505
B09KH58JZR,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹210,₹399,47%,4.1,"1,717"
B09DDCQFMT,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","₹1,299","₹1,999",35%,3.6,590
B08RP2L2NL,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹347,₹999,65%,3.5,"1,121"
B0B4G2MWSB,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹999,85%,4,"1,313"
B0B21C4BMX,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹228,₹899,75%,3.8,132
B084MZXJNK,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"₹1,599","₹1,999",20%,4.4,"1,951"
B0BHZCNC4P,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","₹1,499","₹3,999",63%,3.7,37
B0B16KD737,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹8,499","₹15,999",47%,4.3,592
B099K9ZX65,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹20,990","₹44,990",53%,4.1,"1,259"
B08Y55LPBF,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹32,999","₹44,999",27%,4.2,"45,238"
B015OW3M1W,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹799,"₹1,700",53%,4.1,"28,638"
B01D5H8ZI8,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹229,₹595,62%,4.3,"12,835"
B09X1M3DHX,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹9,999","₹27,990",64%,4.2,"1,269"
B09MM6P76N,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹349,₹599,42%,4.2,284
B01D5H8LDM,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",₹489,"₹1,200",59%,4.4,"69,538"
B0B1YY6JJL,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹23,999","₹34,990",31%,4.3,"4,703"
B09QGZM8QB,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.3,"2,806"
B08L4SBJRY,,Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,₹349,"₹1,299",73%,4,"3,295"
B09X79PP8F,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179,₹299,40%,3.9,81
B082T6GVG9,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹689,"₹1,500",54%,4.2,"42,301"
B0B3XY5YT4,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹30,990","₹49,990",38%,4.3,"1,376"
B0B4HKH19N,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249,₹931,73%,3.9,"1,075"
B08TGG316Z,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹999,"₹2,399",58%,4.6,"3,664"
B071VMP1Z4,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹399,0%,3.9,"1,951"
B071SDRGWL,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹699,50%,4.3,"20,850"
B08PSQRW2T,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.1,"2,685"
B0859M539M,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"₹1,699","₹2,999",43%,4.4,"24,780"
B08RX8G496,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹655,"₹1,099",40%,3.2,285
B002SZEOLG,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹749,"₹1,339",44%,4.2,"1,79,692"
B08CS3BT4L,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹9,999","₹12,999",23%,4.2,"6,088"
B00RFWNJMC,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹195,₹499,61%,3.7,"1,383"
B082T6GXS5,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹999,"₹2,100",52%,4.5,"5,492"
B09CMQRQM6,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹499,₹899,44%,4.2,919
B005LJQMCK,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",₹416,₹599,31%,4.2,"30,023"
B09C6H53KH,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹368,₹699,47%,4.2,387
B0BB3CBFBM,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹29,990","₹65,000",54%,4.1,211
B08QSDKFGQ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹339,"₹1,099",69%,4.3,974
B08PV1X771,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹15,490","₹20,900",26%,4.3,"16,299"
B07YTNKVJQ,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹499,"₹1,299",62%,4.3,"30,411"
B0117H7GZ6,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹249,₹399,38%,3.4,"4,642"
B09XJ1LM7R,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹799,50%,4.3,12
B084N133Y7,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"₹1,499","₹1,999",25%,4.4,"1,951"
B088Z1YWBC,,"Electronics|HomeTheater,TV&Video|Projectors","₹9,490","₹15,990",41%,3.9,"10,480"
B07VSG5SXZ,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹637,"₹1,499",58%,4.1,24
B08RWCZ6SY,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹899,56%,3.9,254
B07KSB1MLX,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables","₹1,089","₹1,600",32%,4,"3,565"
B081FG1QYX,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹339,₹999,66%,4.3,"6,255"
B08R69WBN7,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹499,70%,4,"7,732"
B0B3RHX6B6,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹399,63%,3.9,57
B084N18QZY,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹599,₹849,29%,4.5,577
B081NHWT6Z,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹299,"₹1,199",75%,3.9,"1,193"
B07JPJJZ2H,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,299",69%,4.2,"13,120"
B09JKNF147,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹339,"₹1,999",83%,4,343
B0B9959XF3,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹12,499","₹22,990",46%,4.3,"1,611"
B09PNR6F8Q,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249,₹399,38%,4,"6,558"
B07M69276N,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"₹1,399","₹2,499",44%,4.4,"23,169"
B0B1YZ9CB8,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹32,999","₹47,990",31%,4.3,"4,703"
B09YLYB9PB,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹399,63%,4,"1,423"
B08CTNJ985,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹325,₹999,67%,4.3,"2,651"
B0BP7XLX48,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,999",80%,5,5
B09LHXNZLR,,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹199,₹499,60%,3.7,612
B0B3N8VG24,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹88,₹299,71%,4,"9,378"
B08PSVBB2X,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.1,"2,685"
B0B3MQXNFB,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹57.89,₹199,71%,4,"9,378"
B08XMSKKMM,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹799,"₹1,999",60%,3.3,576
B09L8DT7D6,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹205,₹499,59%,3.8,313
B00GE55L22,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹699,57%,4.1,"2,957"
B0162K34H2,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹849,₹999,15%,4.1,"6,736"
B0B8SRZ5SV,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹949,"₹1,999",53%,4.4,"13,552"
B07CWNJLPC,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹499,"₹1,200",58%,4.3,"5,451"
B00NH12R1O,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹485,38%,4.3,"10,911"
B0B8SSC5D9,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹949,"₹1,999",53%,4.4,"13,552"
B08WKG2MWT,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹379,"₹1,099",66%,4.3,"2,806"
B0B466C3G4,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹8,990","₹18,990",53%,3.9,350
B005LJQMZC,,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",₹486,"₹1,999",76%,4.2,"30,023"
B07MDRGHWQ,,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","₹5,699","₹11,000",48%,4.2,"4,003"
B07DC4RZPY,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹709,"₹1,999",65%,4.1,"1,78,817"
B0B15GSPQW,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹47,990","₹70,900",32%,4.3,"7,109"
B08GJNM9N7,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹299,"₹1,199",75%,3.7,490
B09C6FML9B,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹320,₹599,47%,4.1,491
B0B65MJ45G,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹139,₹549,75%,3.9,61
B08P9RYPLR,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹129,₹249,48%,4,"9,378"
B0B6F8HHR6,,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹24,999","₹35,999",31%,4.2,"32,840"
B084MZXJN6,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹999,"₹1,699",41%,4.4,"7,318"
B08XMG618K,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹225,₹499,55%,4.1,789
B0BCKWZ884,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹547,"₹2,999",82%,4.3,407
B00GGGOYEK,,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹259,₹699,63%,3.8,"2,399"
B07ZR4S1G4,,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹239,₹699,66%,4.4,"2,640"
